Parameter	Type	Unit	Description	Sources
absolute.acceleration	number	g	Module of accelerometer vector	AVL ID 23, AVL ID 254
acceleration.array	array	g	Array of objects with acceleration data by x, y, and z axis	AVL ID 257
accelerometer.calibration.state	number	N/A	Accelerometer calibration state	AVL ID 383
activity.state	number	N/A	Device activity state	AVL ID 395
actual.remaining.mileage	number	km	Actual remaining mileage	AVL ID 353
adas.collision.warning.event	boolean	N/A	Collision warning event generated by Advanced driver-assistance system (ADAS)	AVL ID 613
adas.distance.event	boolean	N/A	Unsafety distance event generated by Advanced driver-assistance system (ADAS)	AVL ID 610, AVL ID 612
adas.lane.departure.event	boolean	N/A	Lane departure event generated by Advanced driver-assistance system (ADAS)	AVL ID 605, AVL ID 606
adas.pedestrian.event	boolean	N/A	Pedestrian detect event generated by Advanced driver-assistance system (ADAS)	AVL ID 614
adas.traffic.sign.violation.event	boolean	N/A	Traffic sign violation event generated by Advanced driver-assistance system (ADAS)	AVL ID 619
agro.vehicle.state.bitmask	number	N/A	Agricultural machinery flags	AVL ID 124, AVL ID 39
ain	number	volts	Voltage on the analog input	AVL ID 10, AVL ID 11, AVL ID 19, AVL ID 245, AVL ID 6, AVL ID 839, AVL ID 840, AVL ID 9, AVL ID 9...10, Command type 0x06
alarm.event	boolean	N/A	Alarm event triggered	AVL ID 236, AVL ID 846
amber.alert.state	number	N/A	Amber Alert state. 0 - Turned Off. 1 - Turned On, count down timer started. 2 - Amber Alert On button pressed to restard active timer. 3 - Alarm. 4 - Amber Alert turned On when timer is set to 0 seconds	AVL ID 400
amber.alert.timeout	number	N/A	Amber Alert time-out configured value	AVL ID 401
available.status	boolean	N/A	Vehicle available status: true - available, false - not available	AVL ID 825
average.x.acceleration	number	g	Harsh acceleration event average accelerometer value on X-axis	AVL ID 259
average.y.acceleration	number	g	Harsh acceleration event average accelerometer value on Y-axis	AVL ID 259
average.z.acceleration	number	g	Harsh acceleration event average accelerometer value on Z-axis	AVL ID 259
barcode.id	string	N/A	Barcode ID	AVL ID 264
battery.capacity.full	number	Ah	Full battery capacity	AVL ID 829
battery.capacity.remaining	number	Ah	Remaining battery capacity	AVL ID 828
battery.charging.status	boolean	N/A	Battery charging status	AVL ID 347, AVL ID 826
battery.current	number	amperes	Battery current	AVL ID 68
battery.health	number	percentage	Battery health level (SoH)	AVL ID 823
battery.level	number	percentage	Internal battery level	AVL ID 113, AVL ID 142, AVL ID 152, AVL ID 824
battery.overvoltage.status	boolean	N/A	Battery overvoltage status (true - battery overvoltage, false - no battery overvoltage)	AVL ID 851
battery.regeneration.status	boolean	N/A	Battery regeneration status: true - disabled, false - enabled	AVL ID 848
battery.short.circuit	boolean	N/A	Battery short circuit (overcurrent) warning status: true - battery short circuit, false - no battery short circuit	AVL ID 852
